,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,-760.8697,17.556656,-22.901367,4.0375004,0.099471495,4.842194,3.6855414,-2.6895607,0.3606151,3.5014493,2.351206,0.6764705,-1.9044478,2.564791,4.2892385,0.08395131,1.8480971,3.551964,0.21789667,1.4709903,2.4663532,-0.67289066,-0.88835275,1.6569325,0.11325194,-0.4199731,-0.342175,0.09847422,-0.16151825,-0.7566149,0.042034768,-0.18444075,-0.033759896,1.1902443,-0.91025233,-0.6113185,0.17091717,-0.08727477,-0.025061393,0.1713123
1,-736.69617,41.073715,-14.765288,6.0774326,6.137238,6.6526747,2.4728277,-3.203151,0.0574927,4.4635544,-1.4098427,-1.0406535,4.329232,3.239174,4.6298475,1.416476,2.5622826,3.0113235,3.103212,3.7253048,2.2576349,1.3613847,0.43279442,0.55158657,0.67404324,-0.3821845,-0.296044,1.3854908,0.6290913,1.1622556,1.804423,2.306149,1.0962497,1.6750325,0.28381574,1.4831835,0.61891145,0.94778055,0.66960853,0.15313506
2,-632.2651,31.065454,-34.961143,16.131678,8.851011,6.411163,2.8749754,-3.0098789,1.072637,10.162009,1.0089704,1.5180626,4.0780683,5.586759,5.069411,-0.49236718,0.8318214,3.6537905,1.2005907,2.67374,3.3065,1.6976161,4.174801,1.5451227,1.145562,1.998418,0.91584283,1.3255626,1.8794891,1.6011157,-0.962474,1.5937811,0.37992296,0.29047975,1.048161,-0.4254526,-0.36453053,0.19987573,0.0759089,0.37847993
3,-704.153,36.8652,-22.769993,9.185027,4.0172596,8.000449,3.4043937,0.37986097,4.0327554,6.2846637,2.7534835,0.8258805,0.15953451,3.7422283,3.6759987,1.8595619,3.9339702,4.394588,2.1055505,3.8687925,3.4435968,0.31855655,0.27029413,1.7528689,-0.046574876,0.32057217,0.5913088,0.45522866,1.5596111,1.0003049,-0.013453147,-0.31354946,0.70311874,1.8597964,-0.60401964,-0.28964627,1.0963576,0.17455739,0.5882156,1.1282531
4,-658.6986,40.029522,-29.709318,-2.8731427,-0.49317223,5.486124,-1.9618088,-3.7986953,0.8349963,10.883585,1.3396047,-0.7291645,2.245332,2.5444043,5.1240225,1.8120784,1.3744806,3.3425765,4.8366375,5.020181,1.5596792,0.7641229,1.2280755,-0.16074501,-0.075734995,-0.17309156,0.34817657,1.4543931,1.3060232,1.9414763,2.458072,1.7890321,0.658496,1.2543104,0.5616986,0.751554,0.04522,0.69997984,1.340834,0.117638506
5,-619.7758,57.540638,-26.127106,5.6409736,2.534244,9.974234,0.6568867,-10.022506,-0.41487014,11.326633,0.9323769,-0.8263279,3.8948855,0.9335797,4.7489023,2.9507542,5.8440337,6.3617206,3.6478753,5.09402,3.5382178,2.3437002,2.3693585,-0.5837749,0.90724707,1.5182704,-0.6544882,1.0199388,-0.2323671,0.84589624,1.7131221,1.924224,2.0100408,1.6742337,0.16373277,0.7194238,0.66851723,-0.51845217,0.33129334,1.455266
6,-772.85333,33.055023,-14.897538,7.3370724,11.009449,9.561153,4.4046607,3.2684913,2.109745,6.345519,2.1329927,-0.2888772,-0.25060815,1.6239487,3.8868382,0.06092813,-0.46011084,2.5224385,1.1313461,0.64129144,2.5075517,0.21174079,0.73722506,1.5181323,0.696352,0.089602105,0.8588574,1.9432579,0.7131099,1.5842927,0.63941914,2.1231272,1.7462152,0.9332894,0.7234062,0.8321069,0.5448761,0.87543744,0.9526161,-0.17956406
7,-694.9639,41.481754,-34.53894,0.8052707,5.0592527,4.584887,-0.23263228,-2.855961,0.27951783,9.126372,0.6675367,1.1770175,4.0165224,2.446204,3.2893033,-0.8279741,1.8747845,3.840021,2.7784262,3.5644102,1.3181287,1.8141415,-0.10395773,0.44231662,1.9066178,1.4757489,0.842652,0.80555415,1.4427421,0.6909428,1.7276896,1.1032435,0.20321612,0.9195621,0.48665377,0.3029742,0.18651287,1.486141,0.21352446,0.029379616
8,-725.50757,36.690952,-23.527578,1.9732618,4.655963,8.012892,-0.83102995,-5.810601,1.4598424,4.890379,0.53542745,0.018827572,0.8242561,3.0576916,5.049576,0.7304483,1.7011893,4.0678644,2.326674,2.4425719,1.1784341,0.672364,-0.65116054,0.13038887,0.9193402,0.43579972,0.5537013,0.34797674,0.37858313,-0.017201344,1.0000894,0.7370814,0.7170062,1.860963,1.0988749,1.4592777,1.1223325,0.7526271,-0.30070463,-0.14705658
9,-590.1205,36.840485,-44.365772,-5.376545,-0.571899,5.9321218,0.59341264,-4.4481754,-0.27321556,10.337721,0.14138424,3.1869874,4.0475645,2.2392042,3.2509558,-2.3571622,2.229324,3.7525601,5.0994153,4.633332,1.1831156,-0.22519179,-0.53231466,0.0692129,1.7459608,1.2693673,0.49393857,3.0707843,3.351314,2.137684,0.6484676,0.5286707,0.4402019,-0.40454248,1.9775002,2.5021477,1.0897106,2.0189247,-0.24027999,-0.17765501
10,-540.2729,55.33022,-43.792976,-1.3424321,3.5647964,3.183016,-4.6533494,-8.12226,-0.9406778,7.7899756,0.15568328,1.3732377,5.283423,3.617981,4.416908,0.5945272,3.6607356,3.8587089,3.9962218,2.9295268,1.6273206,3.2048407,0.7564476,-0.023536226,3.1143613,0.2355935,1.4576508,3.1481729,1.8046128,1.1571387,1.5283585,0.73340946,1.9650978,2.74115,1.6693168,1.8610741,1.7236708,1.6328131,-1.2821369,1.2404801
11,-686.84064,29.935364,-30.899008,10.481884,3.204771,1.8813231,-0.2919475,-3.6844108,0.7992456,9.163742,1.5577455,2.5422251,4.6400037,3.3260713,3.7352483,1.748982,0.34440982,1.9172969,1.5623066,2.2485387,2.848478,1.8217647,2.135924,1.0894771,1.1783768,0.11373515,2.552398,1.7583078,1.8141196,2.6240823,1.6101925,2.5487537,1.2835993,0.8142888,1.8396513,1.6443954,0.23995768,1.8863571,1.4612536,1.8319055
12,-644.83496,31.84137,-36.132668,12.742738,7.069799,8.259953,6.434712,-3.1813066,2.4092963,8.753304,1.2679373,1.8424861,3.0300019,4.430848,4.3600984,-0.5795092,1.5237885,4.2216377,0.834381,2.9060986,3.0449884,2.3253758,3.8288686,0.4924541,0.2592565,2.209947,1.0799087,0.6599224,1.4014691,1.2765616,-0.20347354,1.3342782,0.16907682,0.38355365,1.0401977,-0.23955987,-0.7604668,0.46358162,1.1616398,0.81284744
13,-721.0599,30.16092,-19.560438,4.2780986,4.3381543,15.390464,5.1183777,-7.5543556,0.75731534,7.6425524,-0.5915837,5.2746067,3.660334,0.6975389,4.9811053,0.70862466,-1.1387093,1.5254434,1.373189,1.072352,2.686529,0.19487591,1.4289145,0.22083876,1.1640139,1.143292,-0.38882786,0.770376,-0.61620814,1.1568803,0.350993,0.043547347,0.42608875,0.6901619,0.6200093,0.8560538,0.9782317,-0.2081758,1.2019342,0.7731032
14,-729.28925,24.94,-16.418165,5.134333,3.534555,14.067054,5.7295876,-5.1765304,1.4586767,7.753429,0.41518041,4.931842,2.210852,0.6511991,4.3916135,0.40278178,-1.0017892,1.3628348,1.470902,1.4789709,2.718266,0.2097592,2.0387433,0.4113045,0.09618396,0.36233595,-0.12661679,0.789573,-0.19209474,1.4057746,0.122406706,0.7323851,1.5594465,1.5291688,0.36642718,-0.05277564,-0.081601694,-0.18556423,1.2523019,0.6369993
