Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,C,max_iter,penalty,random_state,solver,best_accuracy_cv_mean,cv_accuracy_mean,cv_accuracy_std,cv_f1_macro_mean,cv_f1_macro_std,cv_precision_macro_mean,cv_precision_macro_std,cv_recall_macro_mean,cv_recall_macro_std,test_accuracy,test_auc_macro_ovr,test_f1_macro,test_precision_macro,test_recall_macro
2025-04-19 08:14:36,4.7s,804a844da52a4d938ce0a9bb8b59e1c2,,LOCAL,C:\Users\ziyif\miniconda3\envs\sklearn\lib\site-packages\ipykernel_launcher.py,ziyif,FINISHED,21.54434690031882,100,l2,42,liblinear,0.9953488372093023,,,,,,,,,1,1,1,1,1
2025-04-19 08:13:12,1.4min,1f2eb2812c004400aa4edefff579baa1,,LOCAL,C:\Users\ziyif\miniconda3\envs\sklearn\lib\site-packages\ipykernel_launcher.py,ziyif,FINISHED,10000.0,500,l2,42,sag,,0.9953488372093023,0.005696487773914378,0.9953428820525595,0.0057133682165084135,0.9955555555555555,0.005443310539518155,0.9953947368421051,0.005674699645486241,,,,,
2025-04-19 08:12:38,33.2s,8de45bc306ad45c8a6da74fa64c0ad04,,LOCAL,C:\Users\ziyif\miniconda3\envs\sklearn\lib\site-packages\ipykernel_launcher.py,ziyif,FINISHED,10000.0,200,l2,42,sag,,0.9953488372093023,0.005696487773914378,0.9953428820525595,0.0057133682165084135,0.9955555555555555,0.005443310539518155,0.9953947368421051,0.005674699645486241,,,,,
2025-04-19 08:12:22,16.7s,cebe3576ec1741e686e0a0f5e5fa69b2,,LOCAL,C:\Users\ziyif\miniconda3\envs\sklearn\lib\site-packages\ipykernel_launcher.py,ziyif,FINISHED,10000.0,100,l2,42,sag,,0.9953488372093023,0.005696487773914378,0.9953428820525595,0.0057133682165084135,0.9955555555555555,0.005443310539518155,0.9953947368421051,0.005674699645486241,,,,,
2025-04-19 08:12:18,3.4s,891b4716409c40158bc22e3cd5bc74c0,,LOCAL,C:\Users\ziyif\miniconda3\envs\sklearn\lib\site-packages\ipykernel_launcher.py,ziyif,FINISHED,10000.0,500,l2,42,newton-cg,,0.9953488372093023,0.005696487773914378,0.9953428820525595,0.0057133682165084135,0.9955555555555555,0.005443310539518155,0.9953947368421051,0.005674699645486241,,,,,
2025-04-19 08:12:15,3.4s,7ead66c7644c4019b5f4535963a1f760,,LOCAL,C:\Users\ziyif\miniconda3\envs\sklearn\lib\site-packages\ipykernel_launcher.py,ziyif,FINISHED,10000.0,200,l2,42,newton-cg,,0.9953488372093023,0.005696487773914378,0.9953428820525595,0.0057133682165084135,0.9955555555555555,0.005443310539518155,0.9953947368421051,0.005674699645486241,,,,,
2025-04-19 08:12:11,3.5s,4e3f55f9c46a447e960e3f3ed0ca8ed0,,LOCAL,C:\Users\ziyif\miniconda3\envs\sklearn\lib\site-packages\ipykernel_launcher.py,ziyif,FINISHED,10000.0,100,l2,42,newton-cg,,0.9953488372093023,0.005696487773914378,0.9953428820525595,0.0057133682165084135,0.9955555555555555,0.005443310539518155,0.9953947368421051,0.005674699645486241,,,,,
2025-04-19 08:12:07,4.4s,150274b601fb4f12ab43a73d6a61f599,,LOCAL,C:\Users\ziyif\miniconda3\envs\sklearn\lib\site-packages\ipykernel_launcher.py,ziyif,FINISHED,10000.0,500,l2,42,lbfgs,,0.9953488372093023,0.005696487773914378,0.9953428820525595,0.0057133682165084135,0.9955555555555555,0.005443310539518155,0.9953947368421051,0.005674699645486241,,,,,
2025-04-19 08:12:02,4.6s,49e1fbac12c44af3a073e1318b28b774,,LOCAL,C:\Users\ziyif\miniconda3\envs\sklearn\lib\site-packages\ipykernel_launcher.py,ziyif,FINISHED,10000.0,200,l2,42,lbfgs,,0.9953488372093023,0.005696487773914378,0.9953428820525595,0.0057133682165084135,0.9955555555555555,0.005443310539518155,0.9953947368421051,0.005674699645486241,,,,,
2025-04-19 08:11:58,4.0s,a3e05a3d39eb4b21b359494f0ca20746,,LOCAL,C:\Users\ziyif\miniconda3\envs\sklearn\lib\site-packages\ipykernel_launcher.py,ziyif,FINISHED,10000.0,100,l2,42,lbfgs,,0.9953488372093023,0.005696487773914378,0.9953428820525595,0.0057133682165084135,0.9955555555555555,0.005443310539518155,0.9953947368421051,0.005674699645486241,,,,,
