Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,C,gamma,kernel,probability,best_accuracy_cv_mean,cv_accuracy_mean,cv_accuracy_std,cv_f1_macro_mean,cv_f1_macro_std,cv_precision_macro_mean,cv_precision_macro_std,cv_recall_macro_mean,cv_recall_macro_std,test_accuracy,test_auc_macro_ovr,test_f1_macro,test_precision_macro,test_recall_macro
2025-04-19 14:49:50,3.7s,fc6165431a25455e88139a0b6005b884,,LOCAL,C:\Users\ziyif\miniconda3\envs\sklearn\lib\site-packages\ipykernel_launcher.py,ziyif,FINISHED,5,0.01,sigmoid,True,,0.1921411387329591,0.021461802839293838,0.190468369908482,0.019035969647028583,0.22243293165165184,0.0063442224793678025,0.18500171998624013,0.0203333860569292,,,,,
2025-04-19 14:49:48,1.9s,ef35a8b04a4d433b96e25abf2f604765,,LOCAL,C:\Users\ziyif\miniconda3\envs\sklearn\lib\site-packages\ipykernel_launcher.py,ziyif,FINISHED,5,auto,sigmoid,True,,0.9306067896284416,0.01437372673907949,0.9298279049513372,0.014459091739938599,0.933773180723645,0.01442234504474127,0.9302461300309597,0.01512299058609082,,,,,
2025-04-19 14:49:45,3.5s,6cc7363fb89f4331888349d291520cfe,,LOCAL,C:\Users\ziyif\miniconda3\envs\sklearn\lib\site-packages\ipykernel_launcher.py,ziyif,FINISHED,5,scale,sigmoid,True,,0.19446672012830796,0.02253837797775213,0.19182431805390382,0.01974674211849046,0.22252770597437282,0.006384853497757222,0.18722394220846234,0.021170325132294426,,,,,
2025-04-19 14:49:39,5.3s,26de844c44614362baa49b476039892e,,LOCAL,C:\Users\ziyif\miniconda3\envs\sklearn\lib\site-packages\ipykernel_launcher.py,ziyif,FINISHED,1,1,sigmoid,True,,0.2176156107992515,0.005449023859268953,0.07148247978436659,0.0014793563436837907,0.04352312215985031,0.00108980477185379,0.2,0,,,,,
2025-04-19 14:49:34,5.3s,363589d7f67b4dd4824d4e72f9dd7ca6,,LOCAL,C:\Users\ziyif\miniconda3\envs\sklearn\lib\site-packages\ipykernel_launcher.py,ziyif,FINISHED,1,0.1,sigmoid,True,,0.2176156107992515,0.005449023859268953,0.07148247978436659,0.0014793563436837907,0.04352312215985031,0.00108980477185379,0.2,0,,,,,
2025-04-19 14:49:30,4.0s,eef6420bc60947b68dcf1937b28e4d9b,,LOCAL,C:\Users\ziyif\miniconda3\envs\sklearn\lib\site-packages\ipykernel_launcher.py,ziyif,FINISHED,1,0.01,sigmoid,True,,0.1921411387329591,0.021461802839293838,0.19063528817142275,0.019454929773737292,0.22290802161896578,0.006813885418354558,0.18500171998624013,0.0203333860569292,,,,,
2025-04-19 14:49:27,3.3s,8bdaed53b7344e2ca36757c6490bc9c6,,LOCAL,C:\Users\ziyif\miniconda3\envs\sklearn\lib\site-packages\ipykernel_launcher.py,ziyif,FINISHED,1,auto,sigmoid,True,,0.7199679230152365,0.017462081209896327,0.6580200441707594,0.015777359243875893,0.6705462012499972,0.07225993607778827,0.7184912280701754,0.01588596126693962,,,,,
2025-04-19 14:49:23,3.9s,e0881870befc4a969798e36ee8a6906e,,LOCAL,C:\Users\ziyif\miniconda3\envs\sklearn\lib\site-packages\ipykernel_launcher.py,ziyif,FINISHED,1,scale,sigmoid,True,,0.19446672012830796,0.019995297080567954,0.19144705659619426,0.018430384979972462,0.2236260614938738,0.007988224579838993,0.18710698314413485,0.018491973862466867,,,,,
2025-04-19 14:49:18,5.2s,9d14fa65759943279d4c9e52b000f452,,LOCAL,C:\Users\ziyif\miniconda3\envs\sklearn\lib\site-packages\ipykernel_launcher.py,ziyif,FINISHED,0.1,1,sigmoid,True,,0.2176156107992515,0.005449023859268953,0.07148247978436659,0.0014793563436837907,0.04352312215985031,0.00108980477185379,0.2,0,,,,,
2025-04-19 14:49:12,5.4s,04cf19899e66427d879ddf5cbbe28f15,,LOCAL,C:\Users\ziyif\miniconda3\envs\sklearn\lib\site-packages\ipykernel_launcher.py,ziyif,FINISHED,0.1,0.1,sigmoid,True,,0.2176156107992515,0.005449023859268953,0.07148247978436659,0.0014793563436837907,0.04352312215985031,0.00108980477185379,0.2,0,,,,,
